Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing Select value x,Availability Select value x,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
N.Jackson,Forward,Chelsea,6.9,44,3.7,2,7.7,1.1,7.7,83.4,158,3,,,100,Available,,6.1,1338189,29433,2247978,34569,916,6,0,3,17,1.67,0,0,0,7,0,0,5,269.6,120.1,446,,"Wed Oct 11, 10:30",211,"Fri Dec 1, 18:15:03"
Romero,Defender,Spurs,4.9,44,4,0,-1.3,-0.3,0,41.1,215,,,,0,Suspended,Suspended until 07 Dec,9.9,2169950,784,1498395,86872,855,2,0,4,11,1.16,1,0,0,2,1,0,7,278.4,64.3,67,,"Mon Nov 6, 23:30",511,"Fri Dec 1, 18:15:03"
Areola,Goalkeeper,West Ham,4.3,43,3.3,3,2,0.5,2,37,234,,,,100,Available,,37.8,2082818,37463,493483,24519,1170,0,0,1,23,1.77,0,1,0,0,0,48,2,369.6,0,0,,,524,"Fri Dec 1, 18:15:03"
Guéhi,Defender,Crystal Palace,4.7,43,3.6,1,2.3,0.5,2.3,31.4,234,,,,100,Available,,5.6,588722,5206,206160,24006,1080,0,0,5,15,1.25,0,0,0,1,0,0,6,251.2,38.1,25,,"Wed Sep 13, 15:30",228,"Fri Dec 1, 18:15:03"
Mykolenko,Defender,Everton,4.4,43,4.8,1,7,1.6,7,42.6,161,,,,100,Available,,3.8,405862,49994,51151,9797,807,2,1,2,11,1.23,0,0,0,1,0,0,6,222.6,72.8,132,,"Thu Sep 28, 17:00",260,"Fri Dec 1, 18:15:03"
Pinnock,Defender,Brentford,4.6,43,3.3,2,1.3,0.3,1.8,53.4,246,,,,100,Available,,4.1,408754,69294,202807,7852,1170,1,0,3,18,1.38,0,0,0,0,0,0,5,343.4,41.2,147,,"Thu Oct 12, 09:30",112,"Fri Dec 1, 18:15:03"
Rashford,Midfielder,Man Utd,8.6,43,3.6,8,3.7,0.4,3.7,73.8,120,3,2,,100,Available,,12.5,737521,7706,4067065,21928,1021,2,2,4,16,1.41,0,0,0,1,0,0,0,172,203,362,,"Sat Nov 4, 15:30",396,"Fri Dec 1, 18:15:03"
Sanchez,Goalkeeper,Chelsea,4.6,43,3.3,0,1.7,0.4,1.7,30.7,236,,,,100,Available,,6.3,709292,12082,438714,17179,1170,0,0,3,20,1.54,0,0,0,1,0,36,4,305.8,0.1,0,,,145,"Fri Dec 1, 18:15:03"
Van de Ven,Defender,Spurs,4.6,43,3.9,0,0.3,0.1,0,25.4,227,,,,0,Injured,Hamstring injury - Expected back 14 Jan,2.1,729686,226,582418,41209,945,1,0,4,10,0.95,0,0,0,1,0,0,4,206.6,14,32,,"Mon Nov 6, 23:30",639,"Fri Dec 1, 18:15:03"
Awoniyi,Forward,Nottm Forest,6.4,42,4.2,0,2.7,0.4,0,46.8,150,,,,0,Injured,Groin Injury - Expected back 24 Feb,1.7,829997,147,810166,21822,664,4,2,2,11,1.49,0,0,0,1,0,0,3,191.2,111.6,167,,"Tue Nov 21, 12:00",437,"Fri Dec 1, 18:15:03"
João Pedro,Forward,Brighton,5.3,42,3.2,13,5,0.9,5,65.8,153,1,,,100,Available,,8.9,904881,85577,2350365,12497,647,4,1,1,13,1.81,0,0,0,1,0,0,6,233.4,182.3,242,,,135,"Fri Dec 1, 18:15:03"
Lindelof,Defender,Man Utd,4.5,41,3.7,6,7,1.6,7,32.2,189,,,,100,Available,,0.6,66673,10716,30645,2827,853,1,1,3,9,0.95,0,0,0,1,0,0,3,195.4,93,33,,"Fri Nov 3, 17:30",386,"Fri Dec 1, 18:15:03"
Neto,Goalkeeper,Bournemouth,4.5,41,3.7,2,3.7,0.8,3.7,35.6,218,,,,100,Available,,1.3,169951,4232,139863,4021,990,0,0,2,21,1.91,0,1,0,3,0,46,7,354.6,0,0,,"Fri Oct 27, 13:30",77,"Fri Dec 1, 18:15:03"
Almirón,Midfielder,Newcastle,6.2,40,3.1,6,3.3,0.5,3.3,40.6,142,,,,100,Available,,4.2,618741,13041,960364,9950,833,2,1,3,9,0.97,0,0,0,1,0,0,3,149,124.8,136,,"Sun Nov 12, 02:00",402,"Fri Dec 1, 18:15:03"
Collins,Defender,Brentford,4.5,40,3.3,0,3.7,0.8,0,42,219,,,,0,Injured,Ankle injury - Expected back 09 Dec,0.7,101224,164,72691,12231,999,1,1,3,15,1.35,0,0,0,2,0,0,3,271.2,47.7,99,,"Tue Nov 21, 12:00",96,"Fri Dec 1, 18:15:03"
Luis Díaz,Midfielder,Liverpool,7.4,40,3.3,1,2.7,0.4,3.2,45,108,,,,100,Available,,7.1,1386061,46208,1405438,25387,674,3,1,2,7,0.93,0,0,0,0,0,0,1,129.6,119.7,202,,,303,"Fri Dec 1, 18:15:03"
Adingra,Midfielder,Brighton,5,39,3.2,1,4,0.8,4,49.2,135,,,,100,Available,,1.3,192362,6189,89132,13521,753,3,1,0,16,1.91,0,0,0,2,0,0,3,196.6,123.4,173,,,122,"Fri Dec 1, 18:15:03"
Aké,Defender,Man City,5,39,3.9,7,5.3,1.1,6.3,37.5,168,,,,100,Available,,5.2,643194,29600,669340,5050,642,2,1,1,7,0.98,0,0,0,0,0,0,4,184.2,65.5,126,,"Mon Nov 13, 01:00",342,"Fri Dec 1, 18:15:03"
Bailey,Midfielder,Aston Villa,5.5,39,3.5,1,2,0.4,2,46.5,118,,,4,100,Available,,1,245232,1436,244282,4428,386,3,3,1,7,1.63,0,0,0,1,0,0,3,178.4,141.7,145,,"Fri Nov 24, 19:00",34,"Fri Dec 1, 18:15:02"
Ederson M.,Goalkeeper,Man City,5.5,39,3.2,2,1.7,0.3,2.7,22.7,211,,,,100,Available,,16.2,906257,26399,1011023,22668,1080,0,0,4,12,1,0,0,0,2,0,21,0,219,10,0,,"Wed Nov 15, 11:30",352,"Fri Dec 1, 18:15:03"
J.Ayew,Midfielder,Crystal Palace,5.4,39,3,1,2.7,0.5,2.7,57.4,116,,,,100,Available,,0.6,83337,562,68135,7706,1055,1,3,5,15,1.28,0,0,0,4,0,0,0,190.8,164.3,219,,"Sat Sep 16, 20:00",221,"Fri Dec 1, 18:15:03"
March,Midfielder,Brighton,6.1,39,5.6,0,0,0,0,46.4,134,,2,2,0,Injured,Knee injury - Unknown return date,2.6,1021178,39,1203659,7771,555,3,1,2,11,1.78,0,0,0,1,0,0,6,197.4,126.5,139,,"Sat Oct 21, 17:30",140,"Fri Dec 1, 18:15:03"
