Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing Select value x,Availability Select value x,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Diop,Defender,Fulham,4.4,23,2.9,0,0,0,0,18.7,135,,,,0,Injured,Foot injury - Unknown return date,0.5,83568,16,105281,1305,700,0,0,3,13,1.67,0,0,0,2,0,0,2,145.4,16.4,25,,"Sat Oct 7, 21:00",271,"Fri Dec 1, 18:15:03"
Emerson,Defender,West Ham,4.5,23,1.9,2,1,0.2,1,38,158,,,,100,Available,,0.7,98746,1624,75638,2607,1080,0,2,1,22,1.83,0,0,0,6,0,0,2,182.4,150.3,47,,"Sun Oct 22, 21:00",532,"Fri Dec 1, 18:15:03"
Gomez,Defender,Liverpool,4.5,23,2.3,0,2.3,0.5,2.8,22.6,104,,,,100,Available,,0.5,50051,860,47448,1615,499,0,0,2,3,0.54,0,0,0,1,0,0,1,98.8,96.4,30,,"Mon Nov 13, 01:00",298,"Fri Dec 1, 18:15:03"
Iwobi,Midfielder,Fulham,5.3,23,2.1,9,4,0.8,3.5,45.7,103,,,,100,Available,,0.3,8341,498,65570,292,691,1,0,1,11,1.43,0,0,0,2,0,0,2,125.8,181.6,149,,"Sun Aug 20, 22:00",256,"Fri Dec 1, 18:15:03"
Kaboré,Defender,Luton,4,23,2.1,0,3,0.8,2.5,32.7,108,,,,100,Available,,5.4,533201,1605,560499,23618,777,0,2,0,14,1.62,0,0,0,4,0,0,3,135.6,144.2,48,,"Wed Nov 22, 23:00",602,"Fri Dec 1, 18:15:03"
Kilman,Defender,Wolves,4.5,23,1.8,1,1.3,0.3,0.8,43.2,192,,,,100,Available,,0.7,64301,2073,73380,2450,1170,0,0,1,23,1.77,0,0,0,2,0,0,2,271,83,77,,,563,"Fri Dec 1, 18:15:03"
Kluivert,Midfielder,Bournemouth,4.6,23,2.3,10,4.7,1,4.7,27.7,57,,,,100,Available,,0.3,20631,7848,41516,720,471,1,0,2,8,1.53,0,0,0,0,0,0,2,73.8,76.8,125,,,72,"Fri Dec 1, 18:15:03"
Maupay,Forward,Brentford,4.9,23,2.3,1,3.3,0.7,3.8,40.8,59,,,,100,Available,,1.1,109310,7389,123468,5175,390,1,2,2,8,1.85,0,0,0,2,0,0,2,95,70.7,245,,"Fri Sep 22, 16:30",258,"Fri Dec 1, 18:15:03"
McAtee,Midfielder,Sheffield Utd,4.4,23,2.3,2,2.7,0.6,2.7,28,67,,2,,100,Available,,0.9,117288,13397,33486,4535,593,0,2,1,21,3.19,0,0,0,1,0,0,0,68,118.4,93,,,360,"Fri Dec 1, 18:15:03"
McNeil,Midfielder,Everton,5.4,23,2.3,2,2,0.4,2,53.1,94,,,4,100,Available,,0.1,11745,416,15295,323,752,0,1,2,9,1.08,0,0,0,0,0,0,0,141.2,251.9,137,,"Thu Aug 31, 22:00",259,"Fri Dec 1, 18:15:03"
N.Aguerd,Defender,West Ham,4.5,23,1.9,1,1,0.2,1,37,143,,,,100,Available,,1,100521,1805,70813,5131,1056,1,0,1,22,1.88,0,0,0,1,1,0,0,266,25.8,78,,"Sun Aug 20, 22:00",522,"Fri Dec 1, 18:15:03"
Raúl,Forward,Fulham,5.2,23,1.9,2,3.3,0.6,2.8,34.3,65,,,,100,Available,,0.6,111651,1625,172148,3179,754,1,0,2,18,2.15,0,0,0,2,0,0,2,84.4,87.5,177,,,558,"Fri Dec 1, 18:15:03"
Reed,Midfielder,Fulham,4.6,23,1.9,2,0.7,0.2,0.2,23.8,100,,,4,100,Available,,0.4,28365,320,78916,1147,665,0,1,3,13,1.76,0,0,0,2,0,0,0,92.8,131,14,,"Thu Aug 31, 02:00",282,"Fri Dec 1, 18:15:03"
Ajer,Defender,Brentford,4.5,22,2,1,0.3,0.1,0.8,32.3,117,,,,100,Available,,0.4,37988,5341,31598,796,723,0,1,2,13,1.62,0,0,0,4,0,0,1,122.8,94.4,107,,"Mon Sep 18, 13:00",90,"Fri Dec 1, 18:15:03"
Evans,Defender,Man Utd,4,22,3.7,0,2,0.5,0,13.1,107,,,,0,Injured,Muscle injury - Unknown return date,1,228718,176,137006,12767,447,0,1,2,7,1.41,0,0,0,1,0,0,3,83.8,38.7,9,,"Thu Nov 9, 09:00",703,"Fri Dec 1, 18:15:03"
Kalajdži?,Forward,Wolves,4.9,22,2.4,1,1.3,0.3,0.8,20.7,84,,,,100,Available,,0.2,23840,437,22940,1017,156,2,0,1,2,1.15,0,0,0,0,0,0,4,94,48.4,66,,,562,"Fri Dec 1, 18:15:03"
Martial,Forward,Man Utd,6.4,22,2,11,4.3,0.7,4.3,20.7,66,2,,,100,Available,,0.4,28070,4001,31737,1418,324,1,1,1,4,1.11,0,0,0,0,0,0,2,58.8,67.8,84,,"Sun Aug 6, 23:30",390,"Fri Dec 1, 18:15:03"
Mateta,Forward,Crystal Palace,4.9,22,2.2,1,0.7,0.1,0.7,26.4,52,,,,100,Available,,0.5,78866,605,75273,2701,391,0,3,2,9,2.07,0,0,0,1,0,0,0,82.4,103.6,79,,,232,"Fri Dec 1, 18:15:03"
Onana,Midfielder,Everton,4.8,22,2,0,0,0,0,35.5,120,,,,25,Doubtful,Calf injury - 25% chance of playing,0.2,13720,49,24792,742,920,0,0,2,14,1.37,0,0,0,1,0,0,0,98.4,123,132,,"Fri Nov 17, 13:30",261,"Fri Dec 1, 18:15:03"
Ansu Fati,Midfielder,Brighton,6.5,21,2.3,1,1.7,0.3,0,32.7,55,,,,0,Injured,Muscle injury - Unknown return date,0.9,177556,969,107583,27737,286,2,0,1,6,1.89,0,0,0,1,0,0,1,97,54.5,176,,"Sat Nov 25, 19:00",700,"Fri Dec 1, 18:15:03"
C.Doucouré,Midfielder,Crystal Palace,5,21,1.9,1,0.7,0.1,0,34.2,141,,,,0,Injured,Achilles injury - Expected back 19 May,0.1,11375,32,12183,1012,920,0,0,3,12,1.17,0,0,0,2,0,0,0,165.8,138.5,36,,"Sat Nov 25, 19:00",223,"Fri Dec 1, 18:15:03"
Casemiro,Midfielder,Man Utd,5.4,21,2.6,0,0,0,0,40.3,94,,,,0,Injured,Hamstring injury - Expected back 14 Jan,2.2,141526,51,426689,4980,648,1,0,2,11,1.53,0,0,0,1,0,0,0,167.2,112.6,123,,"Thu Nov 2, 11:00",376,"Fri Dec 1, 18:15:03"
Fábio Vieira,Midfielder,Arsenal,5.4,21,2.6,0,-0.3,-0.1,0,21.9,62,4,,5,0,Suspended,Suspended until 09 Dec,0.1,11376,16,16941,444,236,1,3,1,2,0.76,0,0,0,0,1,0,0,79.4,63.6,77,,"Sun Nov 12, 02:00",4,"Fri Dec 1, 18:15:02"
Gana,Midfielder,Everton,4.8,21,2.1,1,3.3,0.7,3.3,30.5,126,,,,100,Available,,0,2707,256,4472,109,765,1,0,0,15,1.76,0,0,0,3,0,0,2,130,111.1,64,,"Sat Oct 7, 21:00",254,"Fri Dec 1, 18:15:03"
Lockyer,Defender,Luton,4.3,21,1.8,1,1.3,0.3,0.8,36.5,146,,,,100,Available,,0.3,29469,1008,23015,1158,1035,1,1,0,21,1.83,1,0,0,4,0,0,1,246,38.9,80,,"Thu Sep 28, 17:00",575,"Fri Dec 1, 18:15:03"
Mac Allister,Midfielder,Liverpool,5.8,21,1.8,2,1,0.2,1.5,32.8,129,,,,100,Available,,3.1,140740,2770,950905,3822,964,0,1,3,10,0.93,0,0,0,5,1,0,1,153.4,158.1,17,,"Sun Nov 5, 22:00",304,"Fri Dec 1, 18:15:03"
Patterson,Defender,Everton,4.4,21,1.8,1,1,0.2,1,22.8,109,,,,100,Available,,0.2,17778,176,24584,381,541,0,1,1,11,1.83,0,0,0,1,0,0,2,121,83.8,22,,,262,"Fri Dec 1, 18:15:03"
R.Varane,Defender,Man Utd,5,21,2.6,0,0.7,0.1,0.7,19.2,100,,,,100,Available,,2.5,427164,1013,571927,7482,340,1,0,1,5,1.32,0,0,0,0,0,0,2,103.4,22.5,66,,"Sat Aug 26, 21:00",395,"Fri Dec 1, 18:15:03"
Vini Souza,Midfielder,Sheffield Utd,5,21,1.6,1,1.3,0.3,1.3,25.1,110,,,,100,Available,,0,1668,56,1682,105,973,0,0,0,31,2.87,0,0,0,2,0,0,1,176,32.3,44,,"Thu Aug 10, 15:30",638,"Fri Dec 1, 18:15:03"
Zabarnyi,Defender,Bournemouth,4.4,21,1.6,2,2.3,0.5,2.3,26,199,,,,100,Available,,0.1,14928,396,15493,459,1170,0,0,2,28,2.15,0,0,0,2,0,0,0,232.6,10.5,18,,,89,"Fri Dec 1, 18:15:03"
G.Jesus,Forward,Arsenal,7.8,20,2.5,2,0.7,0.1,1.2,32.3,51,,,,100,Available,,2.6,479732,40528,529145,6273,427,1,1,3,4,0.84,0,0,0,2,0,0,2,72.4,60.8,191,,"Tue Oct 24, 23:30",8,"Fri Dec 1, 18:15:02"
Hughes,Midfielder,Crystal Palace,4.9,20,2,1,2,0.4,2,31.5,88,,,4,100,Available,,0,1494,49,1259,93,713,0,0,4,15,1.89,0,0,0,2,0,0,0,127.2,151.9,37,,"Sun Aug 6, 23:30",229,"Fri Dec 1, 18:15:03"
João Gomes,Midfielder,Wolves,4.9,20,1.7,1,0.7,0.1,0,23.3,103,,,,0,Suspended,Suspended until 05 Dec,0.1,5185,75,7012,307,849,0,1,1,18,1.91,0,0,0,5,0,0,0,82.4,119.6,32,,"Mon Nov 27, 22:00",559,"Fri Dec 1, 18:15:03"
Kelly,Defender,Bournemouth,4.5,20,2.2,1,2.3,0.5,0,19.5,137,,,,0,Injured,Hamstring injury - Unknown return date,0.1,10765,63,6231,1955,681,0,0,2,14,1.85,0,0,0,1,0,0,3,119.6,68.5,8,,"Sat Nov 25, 19:00",70,"Fri Dec 1, 18:15:03"
Konaté,Defender,Liverpool,4.9,20,2.5,0,0.7,0.1,1.2,16.3,107,,,,100,Available,,1.5,190043,2738,227763,6227,467,0,0,2,5,0.96,0,0,0,1,0,0,0,114.2,36.7,12,,"Mon Nov 13, 01:00",302,"Fri Dec 1, 18:15:03"
Matip,Defender,Liverpool,4.9,20,2.2,1,2,0.4,2.5,23,128,,,,100,Available,,0.5,65136,4453,54682,1103,711,0,0,2,7,0.89,1,0,0,2,0,0,0,166.4,32.6,31,,,305,"Fri Dec 1, 18:15:03"
Nakamba,Midfielder,Luton,4.4,20,1.7,0,1,0.2,0.2,24.5,123,,,,50,Doubtful,Knee injury - 50% chance of playing,1.4,175284,1227,164517,9133,1060,0,0,0,22,1.87,0,0,0,4,0,0,0,127.8,101.2,14,,"Sat Nov 25, 21:00",52,"Fri Dec 1, 18:15:03"
Sarabia,Midfielder,Wolves,4.7,20,3.3,0,3.7,0.8,3.2,29.4,65,,2,3,100,Available,,0.2,27190,1179,24847,1513,190,1,2,1,1,0.47,0,0,0,1,0,0,2,98.4,124.5,70,,,570,"Fri Dec 1, 18:15:03"
Tielemans,Midfielder,Aston Villa,5.6,20,1.5,4,2.3,0.4,2.3,19.4,84,,,,100,Available,,0.5,17759,761,84725,625,326,0,2,0,5,1.38,0,0,0,0,0,0,0,78,87,28,,,58,"Fri Dec 1, 18:15:02"
Anderson,Midfielder,Newcastle,4.3,19,2.1,0,0,0,0,25.7,65,,,,0,Injured,Back injury - Expected back 23 Dec,2.4,309024,2146,620705,12977,407,0,1,3,5,1.11,0,0,0,0,0,0,0,83.2,88.8,85,,"Wed Oct 25, 22:30",403,"Fri Dec 1, 18:15:03"
Caicedo,Midfielder,Chelsea,4.7,19,1.7,1,1.3,0.3,1.3,23.5,112,,,,100,Available,,1.4,92679,1177,279803,3412,823,0,0,2,13,1.42,0,0,0,3,0,0,0,111,108.2,20,,"Tue Oct 3, 22:30",126,"Fri Dec 1, 18:15:03"
Chong,Midfielder,Luton,4.8,19,1.7,1,2.7,0.6,2.2,21,49,,,,100,Available,,0.1,10224,371,15441,351,554,1,0,0,13,2.11,0,0,0,2,0,0,0,80.2,42.6,91,,,586,"Fri Dec 1, 18:15:03"
Hudson-Odoi,Midfielder,Nottm Forest,4.8,19,3.8,4,1.3,0.3,1.3,17.7,56,,,3,100,Available,,0.1,39396,701,37315,239,256,1,1,1,2,0.7,0,0,0,0,0,0,3,59,75.7,41,,"Sat Oct 21, 19:00",205,"Fri Dec 1, 18:15:03"
McBurnie,Forward,Sheffield Utd,5.4,19,2.7,5,1.7,0.3,1.7,42.9,63,1,,,100,Available,,0,4956,1179,6793,191,475,2,1,0,12,2.27,0,0,0,1,1,0,1,144.8,78,206,,"Sun Oct 22, 23:30",485,"Fri Dec 1, 18:15:03"
Mpanzu,Midfielder,Luton,4.7,19,1.6,3,1.3,0.3,0.8,14.8,53,,,,100,Available,,0,2835,207,5718,81,562,0,0,1,9,1.44,0,0,0,0,0,0,0,45.2,65.8,38,,,582,"Fri Dec 1, 18:15:03"
Schade,Midfielder,Brentford,5.3,19,3.8,0,0,0,0,15.1,40,,,,0,Injured,Muscle injury - Expected back 20 Jan,0.1,18557,16,25446,109,255,1,1,1,2,0.71,0,0,0,0,0,0,2,48.2,42,62,,"Sat Sep 23, 22:00",115,"Fri Dec 1, 18:15:03"
Álvarez,Midfielder,West Ham,5,19,1.7,1,1,0.2,1,23.2,106,,,,100,Available,,0.2,14916,417,16524,439,820,0,1,1,16,1.76,0,0,0,6,0,0,0,149.6,46.4,37,,"Sun Oct 29, 22:00",642,"Fri Dec 1, 18:15:03"
Cairney,Midfielder,Fulham,4.9,18,1.6,5,2.3,0.5,1.8,12.7,61,,,,100,Available,,0,1099,77,1540,39,271,0,2,0,5,1.66,0,0,0,0,0,0,0,28.4,52.2,46,,"Thu Aug 31, 02:00",268,"Fri Dec 1, 18:15:03"
Cullen,Midfielder,Burnley,5,18,1.6,1,0.3,0.1,0.3,26.1,119,,,,100,Available,,0.1,7011,66,9073,122,844,0,1,0,24,2.56,0,0,0,5,0,0,0,128.8,114.2,18,,"Sat Oct 28, 19:30",165,"Fri Dec 1, 18:15:03"
Dunk,Defender,Brighton,5,18,1.5,-2,-0.3,-0.1,0,48,171,,1,,0,Suspended,Suspended until 09 Dec,3.2,301320,698,427251,39616,1062,1,0,0,22,1.86,0,0,0,3,1,0,1,275,62.8,142,,"Sat Nov 25, 19:00",129,"Fri Dec 1, 18:15:03"
Mengi,Defender,Luton,3.9,18,2.2,9,4.3,1.1,3.8,21.7,91,,,,100,Available,,1.4,164255,31177,46377,2417,605,1,0,0,10,1.49,0,0,0,0,0,0,1,172.6,4.1,39,,,393,"Fri Dec 1, 18:15:03"
Murillo,Defender,Nottm Forest,4.5,18,2.6,1,2.7,0.6,2.7,23.7,122,,,,100,Available,,0.1,8729,796,4292,168,615,0,0,2,11,1.61,0,0,0,1,0,0,1,141.8,40.1,56,,"Mon Nov 13, 01:00",696,"Fri Dec 1, 18:15:03"
Rodriguez,Forward,Burnley,5.3,18,2.2,9,4.3,0.8,4.3,20.4,40,1,,,100,Available,,0.2,18205,7840,24916,769,383,1,0,0,10,2.35,0,0,0,0,0,0,3,67.2,30.1,113,,,177,"Fri Dec 1, 18:15:03"
Toti,Defender,Wolves,4.4,18,1.8,1,1.7,0.4,1.2,17,104,,,,100,Available,,0.1,10943,616,8810,654,673,0,1,0,11,1.47,0,0,0,0,0,0,0,120.6,21.1,27,,,573,"Fri Dec 1, 18:15:03"
Barnes,Midfielder,Newcastle,6.2,17,2.8,0,0,0,0,14,48,,,,0,Injured,Toe Injury - Expected back 30 Dec,1,197182,23,441933,1128,183,1,1,1,2,0.98,0,0,0,1,0,0,2,57.6,29.9,53,,"Sun Sep 24, 22:30",603,"Fri Dec 1, 18:15:03"
Benrahma,Midfielder,West Ham,5.6,17,1.7,1,1,0.2,1,34.8,55,2,2,,100,Available,,0.5,30236,463,81768,1082,457,0,1,1,7,1.38,0,0,0,1,0,0,0,61,143.2,144,,,525,"Fri Dec 1, 18:15:03"
Bissouma,Midfielder,Spurs,5,17,1.5,0,1.3,0.3,0.3,42.6,127,,4,,100,Available,,0.4,78115,589,80903,1251,888,0,0,4,12,1.22,0,0,0,5,1,0,0,200,121.7,105,,"Sun Nov 12, 20:00",493,"Fri Dec 1, 18:15:03"
Danjuma,Midfielder,Everton,5.3,17,1.9,1,0.3,0.1,0.3,30.1,40,,3,,100,Available,,0.1,27857,163,34783,377,386,1,0,0,9,2.1,0,0,0,0,0,0,0,63.6,62.8,174,,"Sun Aug 6, 23:30",601,"Fri Dec 1, 18:15:03"
Dawson,Defender,Wolves,4.5,17,1.4,0,0.3,0.1,-0.2,44.5,165,,,,100,Available,,0.3,41691,462,40896,1198,1060,0,0,1,20,1.7,0,0,0,5,0,0,0,269,50.9,124,,"Sun Nov 12, 20:00",551,"Fri Dec 1, 18:15:03"
Hickey,Defender,Brentford,4.4,17,1.9,0,0,0,0,12.9,87,,,,0,Injured,Hamstring injury - Expected back 20 Jan,0.2,23171,13,37829,814,713,0,0,2,12,1.51,0,0,0,5,0,0,0,66.6,28.4,37,,"Sat Nov 4, 19:30",104,"Fri Dec 1, 18:15:03"
Højlund,Forward,Man Utd,7,17,1.9,0,1.3,0.2,1.3,31.7,16,,,,100,Available,,3.6,1029378,4533,830575,40363,646,0,0,3,9,1.25,0,0,0,0,0,0,0,32.2,93.8,194,,"Sun Nov 12, 02:00",617,"Fri Dec 1, 18:15:03"
Kova?i?,Midfielder,Man City,4.8,17,1.9,0,1,0.2,2,22.6,99,,,,100,Available,,0.4,37537,61,109501,1164,560,0,0,3,5,0.8,0,0,0,2,0,0,0,67.6,111.8,47,,"Tue Nov 14, 11:30",356,"Fri Dec 1, 18:15:03"
N.Semedo,Defender,Wolves,4.5,17,1.4,1,1.3,0.3,0.8,33.3,136,,,,100,Available,,0.4,43640,827,46392,1316,1049,0,0,1,22,1.89,0,0,0,4,0,0,0,183.6,90,59,,"Thu Nov 16, 15:00",572,"Fri Dec 1, 18:15:03"
Ramsdale,Goalkeeper,Arsenal,4.7,17,3.4,6,2,0.4,2.5,5.6,77,,,,100,Available,,7.6,245576,8353,1283444,14978,450,0,0,2,4,0.8,0,0,0,0,0,6,0,55.8,0,0,,,17,"Fri Dec 1, 18:15:02"
Veltman,Defender,Brighton,4.4,17,1.3,1,1.3,0.3,1.3,25.1,130,,,,100,Available,,1,88503,1176,104721,3975,775,0,1,0,17,1.97,0,0,0,1,0,0,0,158.2,50.9,41,,,151,"Fri Dec 1, 18:15:03"
Brooks,Midfielder,Bournemouth,4.9,16,1.8,1,0.3,0.1,0.3,22.9,53,,,5,100,Available,,0.1,8633,60,12474,230,231,1,0,0,4,1.56,0,0,0,1,0,0,2,62,82.3,83,,,64,"Fri Dec 1, 18:15:03"
Bruun Larsen,Midfielder,Burnley,4.9,16,1.5,0,0.7,0.1,0.7,17,45,,1,,100,Available,,0,1467,34,2014,49,182,1,0,0,5,2.47,0,0,0,0,0,0,0,53.6,41.7,78,,,608,"Fri Dec 1, 18:15:03"
Duran,Forward,Aston Villa,5,16,2.3,1,0.3,0.1,0.3,13.9,57,,,,100,Available,,0.2,44308,724,36909,901,69,2,0,0,0,0,0,0,0,2,0,0,3,72.8,14.5,56,,"Sun Oct 29, 22:00",44,"Fri Dec 1, 18:15:02"
Elliott,Midfielder,Liverpool,4.8,16,1.5,1,2,0.4,2.5,17.2,65,,,,100,Available,,0.2,14003,497,22700,592,259,0,2,0,2,0.69,0,0,0,1,0,0,0,46.6,78.2,48,,,295,"Fri Dec 1, 18:15:03"
Roerslev,Defender,Brentford,4.4,16,1.6,0,0.7,0.2,1.2,18,78,,,,100,Available,,0.1,5521,139,6294,305,416,0,0,1,6,1.3,0,0,0,0,0,0,0,83.8,84.9,11,,"Mon Nov 27, 21:30",114,"Fri Dec 1, 18:15:03"
Senesi,Defender,Bournemouth,4.3,16,1.5,2,2.3,0.5,2.3,21.9,116,,,,100,Available,,0.1,11173,508,15329,326,665,0,1,1,18,2.44,0,0,0,2,0,0,0,166.2,49.1,2,,,83,"Fri Dec 1, 18:15:03"
Tonali,Midfielder,Newcastle,5.2,16,2,0,0,0,0,23.8,86,,,,0,Suspended,Suspended until 27 Aug,1.2,194789,34,336092,2374,437,1,0,1,5,1.03,0,0,0,2,0,0,0,81.8,105,50,,"Sat Oct 28, 17:30",429,"Fri Dec 1, 18:15:03"
Antony,Midfielder,Man Utd,6.8,15,1.7,0,1.3,0.2,1.3,25.7,56,,,,100,Available,,0.6,22017,380,105530,841,486,0,0,2,5,0.93,0,0,0,2,0,0,0,44.8,122.1,92,,"Mon Nov 27, 21:30",372,"Fri Dec 1, 18:15:03"
Baldock,Defender,Sheffield Utd,3.9,15,2.1,5,3.7,0.9,3.7,18.3,72,,,,100,Available,,7.5,493753,29279,1085420,7514,539,0,2,0,11,1.84,0,0,0,3,0,0,2,94.2,73.7,17,,"Wed Sep 13, 01:00",473,"Fri Dec 1, 18:15:03"
Chilwell,Defender,Chelsea,5.4,15,2.5,0,0,0,0,28.1,66,,3,1,0,Injured,Hamstring injury - Unknown return date,5.3,2119099,87,3114776,8323,334,0,1,1,5,1.35,0,0,0,3,0,0,2,57,136.4,88,,"Thu Sep 28, 03:30",195,"Fri Dec 1, 18:15:03"
E.Royal,Defender,Spurs,4.4,15,1.5,1,0.3,0.1,-0.7,19.2,91,,,,100,Available,,0.9,149315,832,167579,1998,415,1,0,0,11,2.39,0,0,0,1,0,0,1,134.8,28.8,26,,,497,"Fri Dec 1, 18:15:03"
Gudmundsson,Midfielder,Burnley,4.8,15,1.9,3,2,0.4,2,38.2,83,,2,2,100,Available,,0,2263,509,4504,110,515,0,1,1,10,1.75,0,0,0,2,0,0,0,87.8,242.7,51,,"Mon Sep 25, 13:00",170,"Fri Dec 1, 18:15:03"
Onyeka,Midfielder,Brentford,4.9,15,1.4,2,2.7,0.6,3.2,28.2,64,,,,100,Available,,0,1623,376,1344,68,458,0,1,1,11,2.16,0,0,0,3,0,0,0,99.4,104.2,79,,"Sun Aug 6, 23:30",111,"Fri Dec 1, 18:15:03"
R.Lewis,Defender,Man City,4.3,15,3,0,0.3,0.1,1.3,2.3,56,,,,100,Available,,0.3,53896,570,72060,1256,166,0,0,2,1,0.54,0,0,0,0,0,0,0,5.8,10.5,6,,,358,"Fri Dec 1, 18:15:03"
Reguilón,Defender,Man Utd,4.4,15,3.8,0,2.7,0.6,2.7,8.5,60,,,,100,Available,,0.5,150324,343,124949,5997,257,0,0,2,4,1.4,0,0,0,1,0,0,2,28.4,49.1,8,,"Fri Sep 29, 13:30",508,"Fri Dec 1, 18:15:03"
Steele,Goalkeeper,Brighton,4.3,15,2.1,0,0.7,0.2,0.7,18.9,124,,,,100,Available,,2.4,107386,1173,407244,9040,630,0,0,0,13,1.86,0,0,0,0,0,21,0,188.6,0.1,0,,,148,"Fri Dec 1, 18:15:03"
Stones,Defender,Man City,5.3,15,3.8,0,2,0.4,3,7.9,70,,,,100,Available,,2.9,87106,2863,2195210,2690,256,0,0,2,2,0.7,0,0,0,0,0,0,0,28.8,44,6,,"Wed Nov 8, 09:00",368,"Fri Dec 1, 18:15:03"
Taylor,Defender,Burnley,4,15,1.5,1,1,0.2,1,26.7,128,,,,100,Available,,5.6,637125,11951,172781,6365,900,1,0,0,21,2.1,0,0,0,3,0,0,0,180.4,60.8,25,,,178,"Fri Dec 1, 18:15:03"
Welbeck,Forward,Brighton,5.7,15,1.9,0,0,0,0,21.9,44,3,,,0,Injured,Muscle injury - Unknown return date,0.6,71936,48,251583,1395,407,1,0,2,7,1.55,0,0,0,1,0,0,1,61,71.6,86,,"Sat Oct 21, 17:30",154,"Fri Dec 1, 18:15:03"
Bellegarde,Midfielder,Wolves,4.9,14,2.8,5,4.7,1,4.2,19.4,53,,,5,100,Available,,0,3902,754,2344,129,276,1,1,0,7,2.28,0,0,0,0,1,0,1,85,70.6,39,,"Sat Oct 21, 18:00",715,"Fri Dec 1, 18:15:03"
Grealish,Midfielder,Man City,7.2,14,2,0,0,0,1,30.6,61,,,4,100,Available,,1.6,77313,725,477727,3380,325,0,1,2,3,0.83,0,0,0,3,0,0,2,66,130.9,109,,"Wed Sep 6, 09:30",354,"Fri Dec 1, 18:15:03"
Jorginho,Midfielder,Arsenal,5.3,14,1.4,1,1.7,0.3,2.2,12.4,63,,,,100,Available,,0.2,7857,279,15750,412,382,0,0,1,6,1.41,0,0,0,1,0,0,0,50.6,64.7,9,,"Mon Aug 7, 15:30",9,"Fri Dec 1, 18:15:02"
Kerkez,Defender,Bournemouth,4.4,14,1.2,1,0,0,0,24.1,91,,,,100,Available,,0.2,14624,105,22235,395,898,0,0,1,25,2.51,1,0,0,1,0,0,0,131,86.1,24,,,595,"Fri Dec 1, 18:15:03"
L.Cook,Midfielder,Bournemouth,5,14,1.6,2,1.3,0.3,1.3,25.2,103,,,1,100,Available,,0,1039,44,2551,45,704,0,0,2,16,2.05,0,0,0,1,1,0,0,114.4,119.2,18,,"Sat Oct 21, 17:30",66,"Fri Dec 1, 18:15:03"
Sangaré,Midfielder,Nottm Forest,5,14,1.8,0,1.7,0.3,1.3,20.5,46,,,,75,Doubtful,Illness - 75% chance of playing,0,1707,28,1132,93,642,0,0,3,10,1.4,0,0,0,4,0,0,0,102.4,66.5,36,,"Mon Nov 27, 21:30",713,"Fri Dec 1, 18:15:03"
Solomon,Midfielder,Spurs,5.1,14,2.8,0,0,0,0,28,53,,,,0,Injured,Knee injury - Expected back 14 Jan,0.1,18791,5,27806,124,196,0,2,0,2,0.92,0,0,0,1,0,0,2,73.4,144.3,61,,"Fri Oct 6, 15:30",583,"Fri Dec 1, 18:15:03"
Andersen,Defender,Luton,4,13,2.2,0,0,0,0,14.3,68,,,,0,Injured,Hamstring injury - Unknown return date,0.9,198757,80,186028,3966,371,1,0,0,6,1.46,0,0,0,1,0,0,1,113.2,1.8,27,,"Sat Oct 7, 21:00",315,"Fri Dec 1, 18:15:03"
Aït-Nouri,Defender,Wolves,4.5,13,1,1,1,0.2,0,35.1,98,,,4,0,Injured,Ankle injury - Expected back 09 Dec,0.6,63288,1329,44672,5601,889,0,0,0,16,1.62,0,0,0,4,0,0,0,158,143.5,51,,"Tue Nov 28, 01:00",545,"Fri Dec 1, 18:15:03"
Barkley,Midfielder,Luton,4.9,13,1.6,1,1.7,0.3,1.2,25.3,74,,1,4,100,Available,,0.1,6799,459,18605,275,533,0,0,0,11,1.86,0,0,0,1,0,0,0,80.4,112.9,63,,"Sat Sep 16, 23:30",630,"Fri Dec 1, 18:15:03"
Broja,Forward,Chelsea,4.9,13,2.6,1,1.7,0.3,1.7,9.7,40,,,,100,Available,,0.2,62763,1268,51949,1243,142,1,1,1,2,1.27,0,0,0,0,0,0,0,38.4,8.9,51,,"Wed Oct 18, 22:00",193,"Fri Dec 1, 18:15:03"
Burke,Defender,Luton,4,13,1.6,0,0,0,0,25.6,79,,,,0,Injured,Hamstring injury - Expected back 02 Dec,0.1,24733,68,17724,532,595,0,1,0,12,1.82,0,0,0,1,0,0,0,131.2,73.8,51,,"Sun Oct 22, 23:30",318,"Fri Dec 1, 18:15:03"
Dahoud,Midfielder,Brighton,4.8,13,1.6,0,0,0,0,21.7,68,,,,0,Suspended,Suspended until 09 Dec,0.1,8191,4,17346,359,404,0,1,1,5,1.11,0,0,0,1,1,0,0,70.4,126.4,22,,"Mon Nov 13, 01:00",128,"Fri Dec 1, 18:15:03"
