Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Buyabu,Defender,Sheffield Utd,4,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0,1143,13,597,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,731,"Tue Dec 19, 16:15:01"
Campbell,Midfielder,Luton,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Millwall,0,182,0,3821,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 15:34",319,"Tue Dec 19, 16:15:01"
Campbell,Defender,Everton,4,0,0,0,0,0,1.2,0,0,,,,100,Available,,0,56,56,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,761,"Tue Dec 19, 16:15:01"
Cancelo,Defender,Man City,5.8,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Barcelona,1,23685,0,271894,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 21:47",346,"Tue Dec 19, 16:15:01"
Canós,Midfielder,Brentford,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Valencia,0,292,0,3787,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 21, 08:27",95,"Tue Dec 19, 16:15:01"
Carson,Goalkeeper,Man City,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,6006,46,6531,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,347,"Tue Dec 19, 16:15:01"
Castledine,Midfielder,Chelsea,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,69,14,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,758,"Tue Dec 19, 16:15:01"
Chalobah,Defender,Chelsea,4.3,0,0,0,0,0,0,0,0,,,,0,Injured,Hamstring injury - Unknown return date,0,769,4,16797,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 11, 16:00",194,"Tue Dec 19, 16:15:01"
Chambers,Defender,Aston Villa,3.9,0,0,0,0,0,0.5,0,0,,,,100,Available,,1,46690,480,84756,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37,"Tue Dec 19, 16:15:01"
Chambers,Defender,Liverpool,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1748,22,1081,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,726,"Tue Dec 19, 16:15:01"
Charles,Midfielder,Man City,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent Transfer to Southampton,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Tue Jul 11, 09:00",348,"Tue Dec 19, 16:15:01"
Chiquinho,Midfielder,Wolves,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Stoke City,0,0,0,723,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Jul 24, 10:00",549,"Tue Dec 19, 16:15:02"
Chirewa,Midfielder,Wolves,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,318,25,152,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,750,"Tue Dec 19, 16:15:02"
